Day,Part,Result,ExecutionTime,Date
1,1,232,1,2024-01-22T04:47:04.428Z
1,2,1783,2,2024-01-22T04:47:04.430Z
2,1,1598415,0,2024-01-22T04:47:20.934Z
2,2,3812909,0,2024-01-22T04:47:20.935Z
3,1,2565,6,2024-01-22T04:47:46.616Z
3,2,2639,9,2024-01-22T04:47:46.622Z
4,1,346386,361,2024-01-22T04:47:59.627Z
4,2,9958218,8471,2024-01-22T04:47:59.988Z
5,1,236,1,2024-01-22T04:48:51.403Z
5,2,51,3,2024-01-22T04:48:51.405Z
6,1,569999,181,2024-01-22T04:49:16.537Z
6,2,17836115,191,2024-01-22T04:49:16.718Z
7,1,3176,3,2024-01-22T04:49:32.648Z
7,2,14710,2,2024-01-22T04:49:32.652Z
8,1,1342,1,2024-01-22T04:49:47.710Z
8,2,2074,1,2024-01-22T04:49:47.712Z
9,1,207,51,2024-01-22T04:50:00.696Z
9,2,804,50,2024-01-22T04:50:00.748Z
10,1,329356,32,2024-01-22T05:12:34.242Z
10,2,4666278,193,2024-01-22T05:12:34.275Z
11,1,cqjxxyzz,9,2024-01-22T05:12:46.369Z
11,2,cqkaabcc,45,2024-01-22T05:12:46.378Z
12,1,111754,1,2024-01-22T05:13:44.771Z
12,2,65402,2,2024-01-22T05:13:44.773Z
13,1,664,2,2024-01-22T05:13:59.027Z
13,2,640,2,2024-01-22T05:13:59.029Z
14,1,2640,1,2024-01-22T05:14:13.090Z
14,2,1102,3,2024-01-22T05:14:13.091Z
15,1,21367368,11,2024-01-22T05:14:29.135Z
15,2,1766400,6,2024-01-22T05:14:29.146Z
16,1,103,3,2024-01-22T05:14:42.508Z
16,2,405,2,2024-01-22T05:14:42.511Z
17,1,1638,3,2024-01-22T05:14:54.781Z
17,2,17,4,2024-01-22T05:14:54.784Z
18,1,821,138,2024-01-22T05:15:07.960Z
18,2,886,141,2024-01-22T05:15:08.099Z
19,1,576,5,2024-01-22T05:15:28.119Z
19,2,207,0,2024-01-22T05:15:28.125Z
20,1,776160,274,2024-01-22T05:15:40.287Z
20,2,786240,42,2024-01-22T05:15:40.562Z
21,1,91,3,2024-01-22T05:15:52.570Z
21,2,158,2,2024-01-22T05:15:52.573Z
22,1,1824,5,2024-01-22T05:16:09.000Z
22,2,1937,2,2024-01-22T05:16:09.006Z
23,1,255,4,2024-01-23T03:52:01.099Z
23,2,334,1,2024-01-23T03:52:01.103Z
24,1,10723906903,51,2024-01-23T21:57:20.436Z
24,2,74850409,40,2024-01-23T21:57:20.487Z
25,1,19980801,1233,2024-01-24T00:59:49.691Z
25,2,Done!,0,2024-01-24T00:59:50.925Z
